ts,open,high,low,close,volume,oi
2026-07-15 11:55:00+05:30,93.35,96.6,93.0,94.9,334230,6195475
2026-07-15 11:56:00+05:30,94.85,96.6,94.0,94.4,204685,6229665
2026-07-15 11:57:00+05:30,94.65,95.0,92.15,93.2,186875,6284590
2026-07-15 11:58:00+05:30,92.85,93.35,91.75,92.8,110110,6284590
2026-07-15 11:59:00+05:30,92.9,94.3,92.65,93.3,112450,6265025
2026-07-15 12:00:00+05:30,93.5,94.5,93.0,93.0,120055,6276335
2026-07-15 12:01:00+05:30,93.05,94.0,92.65,93.2,86450,6301230
2026-07-15 12:02:00+05:30,93.1,94.35,92.1,92.1,156260,6328920
2026-07-15 12:03:00+05:30,92.15,93.05,90.45,90.9,202150,6343025
2026-07-15 12:04:00+05:30,91.15,94.5,90.5,93.4,148395,6331065
2026-07-15 12:05:00+05:30,93.35,94.0,92.5,93.6,79365,6331065
2026-07-15 12:06:00+05:30,93.6,93.8,91.45,92.75,75920,6361095
2026-07-15 12:07:00+05:30,93.0,94.5,92.8,93.2,111475,6356155
2026-07-15 12:08:00+05:30,93.0,93.9,92.35,93.55,57850,6391710
2026-07-15 12:09:00+05:30,93.5,93.95,92.2,92.3,101790,6393400
2026-07-15 12:10:00+05:30,92.3,92.5,90.15,90.9,187135,6376175
2026-07-15 12:11:00+05:30,91.0,92.75,90.55,92.35,85735,6377670
2026-07-15 12:12:00+05:30,92.35,92.85,91.05,91.5,73645,6392490
2026-07-15 12:13:00+05:30,91.35,94.5,91.35,93.45,170950,6393270
2026-07-15 12:14:00+05:30,93.75,96.5,93.4,96.05,282035,6350955
2026-07-15 12:15:00+05:30,96.25,96.75,94.6,95.25,244530,6358560
2026-07-15 12:16:00+05:30,95.2,95.85,93.5,94.85,150345,6367790
2026-07-15 12:17:00+05:30,94.85,96.45,94.25,95.45,117260,6323785
2026-07-15 12:18:00+05:30,95.45,96.45,95.0,95.35,96915,6328010
2026-07-15 12:19:00+05:30,95.3,97.5,95.3,95.8,160160,6340165
2026-07-15 12:20:00+05:30,96.0,96.6,95.25,96.2,108290,6330870
2026-07-15 12:21:00+05:30,96.15,96.15,93.25,93.95,171860,6333600
2026-07-15 12:22:00+05:30,93.9,96.7,92.6,93.2,154505,6313190
2026-07-15 12:23:00+05:30,93.2,93.6,91.35,92.0,162500,6285955
2026-07-15 12:24:00+05:30,92.0,93.3,91.3,93.3,131430,6295185
2026-07-15 12:25:00+05:30,93.15,94.75,91.85,93.5,99970,6299215
2026-07-15 12:26:00+05:30,93.6,94.7,91.0,91.35,126750,6325930
2026-07-15 12:27:00+05:30,91.2,91.8,89.0,89.35,326430,6398535
2026-07-15 12:28:00+05:30,89.2,90.0,88.3,88.9,164840,6398535
2026-07-15 12:29:00+05:30,89.0,89.1,86.55,87.1,320190,6370715
2026-07-15 12:30:00+05:30,87.2,88.95,85.25,88.7,341445,6414980
2026-07-15 12:31:00+05:30,88.6,88.95,87.1,88.7,142545,6440980
2026-07-15 12:32:00+05:30,88.7,89.0,87.1,88.3,112450,6463925
2026-07-15 12:33:00+05:30,88.1,88.2,84.85,86.2,280410,6453135
2026-07-15 12:34:00+05:30,85.9,87.45,85.8,86.2,142610,6479785
2026-07-15 12:35:00+05:30,86.25,86.6,85.0,85.6,186615,6517680
2026-07-15 12:36:00+05:30,85.55,86.0,83.3,83.9,284960,6517680
2026-07-15 12:37:00+05:30,83.9,85.9,83.5,85.5,149110,6497010
2026-07-15 12:38:00+05:30,85.45,85.8,79.15,80.7,479310,6524180
2026-07-15 12:39:00+05:30,80.85,81.35,77.75,79.15,1008475,6507865
2026-07-15 12:40:00+05:30,79.0,79.6,77.75,78.25,572195,6132880
2026-07-15 12:41:00+05:30,78.25,80.55,77.4,80.2,360425,6113250
2026-07-15 12:42:00+05:30,80.1,81.9,78.5,80.85,334360,6130800
2026-07-15 12:43:00+05:30,80.95,83.3,80.9,82.7,371215,6168760
2026-07-15 12:44:00+05:30,82.7,83.65,82.0,82.95,183495,6193135
2026-07-15 12:45:00+05:30,83.1,83.6,82.25,82.6,191555,6167850
2026-07-15 12:46:00+05:30,82.6,83.6,82.5,83.3,114335,6177535
